Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,antisymmetric property,BFO CLIF specification label,BFO OWL specification label,curator note,definition,definition source,disposition of at all times,editor note,editor preferred term,elucidation,example of usage,expand assertion to,expand expression to,first order logic expression,has associated axiom(fol),has associated axiom(nl),has axiom label,has continuant part at all times,has curation status,has disposition at some time,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,has obsolescence reason,has occurrent part,has ontology root term,has participant at all times,has participant at some time,has proper continuant part at all times,has proper occurrent part,http://attempto.ifi.uzh.ch/ace_lexicon#CN_pl,http://attempto.ifi.uzh.ch/ace_lexicon#CN_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_pl,http://attempto.ifi.uzh.ch/ace_lexicon#TV_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_vbg,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.obolibrary.org/obo/MF#isAbout,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/coverage,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/member,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/relation,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/elements/1.1/type,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/mbox,imported from,in branch,inheres in at all times,is allocated id range,is denotator type,material basis of at all times,may be identical to,OBO foundry unique label,ontology term requester,part of continuant at some time,part of occurrent,participates in at some time,realized in,realizes,scheduled for obsoletion on or after,term editor,term replaced by,term tracker item
http://purl.obolibrary.org/obo/GO_0060179,male mating behavior,,The specific behavior of a male organism that is associated with reproduction.,false,,,http://purl.obolibrary.org/obo/GO_0007617,,,,,,The specific behavior of a male organism that is associated with reproduction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0060179,,,,,,,,,,,,,,,,,,,,,,,,,,male mating behavior,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0044481,envenomation resulting in proteolysis in other organism,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant hydrolysis of proteins in of the bitten organism.",false,,,http://purl.obolibrary.org/obo/GO_0035738,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant hydrolysis of proteins in of the bitten organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0044481,,,,,,,,,,,,,,,,,,,,,,,,,,envenomation resulting in proteolysis in other organism,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0044741,envenomation resulting in negative regulation of sensory perception of pain in other organism,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the inhibition of the sensory perception of pain in the bitten organism.",false,,,http://purl.obolibrary.org/obo/GO_0044742,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the inhibition of the sensory perception of pain in the bitten organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0044741,,,,,,,,,,,,,,,,,,,,,,,,,,envenomation resulting in negative regulation of sensory perception of pain in other organism,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0044478,envenomation resulting in positive regulation of platelet aggregation in other organism,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant activation, maintenance or an increase in the frequency, rate or extent of platelet aggregation in the bitten organism.",false,,,http://purl.obolibrary.org/obo/GO_0044469|http://purl.obolibrary.org/obo/GO_0044365,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the resultant activation, maintenance or an increase in the frequency, rate or extent of platelet aggregation in the bitten organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0044478,,,,,,,,,,,,,,,,,,,,,,,,,,envenomation resulting in positive regulation of platelet aggregation in other organism,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000202,personality,,"A personality is a complex sum of dispositions and predispositions towards mental processes and behaviour. It inheres in a person.|Personality is not the same as mood, although a person may have a personality that includes a predisposition to moods of certain types, moods may come and go but a personality stays relatively constant, not appearing and disappearing. Personality typically changes slowly over time.",false,,,http://purl.obolibrary.org/obo/MF_0000032,,,,,,A personality is a complex sum of dispositions and predispositions towards mental processes and behaviour. It inheres in a person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MF:0000202,,,,,,,,,,,,,,,,,,,,,,,,"Personality is not the same as mood, although a person may have a personality that includes a predisposition to moods of certain types, moods may come and go but a personality stays relatively constant, not appearing and disappearing. Personality typically changes slowly over time.",,personality,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NBO_0000536,circadian regulation of heart rate,,"""Any process in which an organism modulates its heart rate at different values with a regularity of approximately 24 hours."" [GOC:rl]",false,,,http://purl.obolibrary.org/obo/GO_0048512,,,,,,"""Any process in which an organism modulates its heart rate at different values with a regularity of approximately 24 hours."" [GOC:rl]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBO:0000536,,,,,,,,,,,,,,,,,,,,,,,,,,circadian regulation of heart rate,,,,http://purl.obolibrary.org/obo/nbo.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000078,consciousness of the body,,The subjective experience of being an embodied entity.,false,,,http://purl.obolibrary.org/obo/MF_0000101,body awareness,,,,,The subjective experience of being an embodied entity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MF:0000078,,,,,,,,,,,,,,,,,,,,,,,,,,consciousness of the body,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0099127,envenomation resulting in positive regulation of argininosuccinate synthase activity in other organism,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the activation of the cytosolic argininosuccinate synthase in the bitten organism.",false,,,http://purl.obolibrary.org/obo/GO_0035738,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with the activation of the cytosolic argininosuccinate synthase in the bitten organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0099127,,,,,,,,,,,,,,,,,,,,,,,,,,envenomation resulting in positive regulation of argininosuccinate synthase activity in other organism,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000140,continuant fiat boundary,,"b is a continuant fiat boundary = Def. b is an immaterial entity that is of zero, one or two dimensions and does not include a spatial region as part. (axiom label in BFO2 Reference: [029-001])",false,,,http://purl.obolibrary.org/obo/BFO_0000141,,,ContinuantFiatBoundary,cf-boundary,,"b is a continuant fiat boundary = Def. b is an immaterial entity that is of zero, one or two dimensions and does not include a spatial region as part. (axiom label in BFO2 Reference: [029-001])",,,"BFO 2 Reference: a continuant fiat boundary is a boundary of some material entity (for example: the plane separating the Northern and Southern hemispheres; the North Pole), or it is a boundary of some immaterial entity (for example of some portion of airspace). Three basic kinds of continuant fiat boundary can be distinguished (together with various combination kinds [29|BFO 2 Reference: In BFO 1.1 the assumption was made that the external surface of a material entity such as a cell could be treated as if it were a boundary in the mathematical sense. The new document propounds the view that when we talk about external surfaces of material objects in this way then we are talking about something fiat. To be dealt with in a future version: fiat boundaries at different levels of granularity.More generally, the focus in discussion of boundaries in BFO 2.0 is now on fiat boundaries, which means: boundaries for which there is no assumption that they coincide with physical discontinuities. The ontology of boundaries becomes more closely allied with the ontology of regions.|Continuant fiat boundary doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. An example would be the mereological sum of two-dimensional continuant fiat boundary and a one dimensional continuant fiat boundary that doesn't overlap it. The situation is analogous to temporal and spatial regions.",,,,,,,(iff (ContinuantFiatBoundary a) (and (ImmaterialEntity a) (exists (b) (and (or (ZeroDimensionalSpatialRegion b) (OneDimensionalSpatialRegion b) (TwoDimensionalSpatialRegion b)) (forall (t) (locatedInAt a b t)))) (not (exists (c t) (and (SpatialRegion c) (continuantPartOfAt c a t)))))) // axiom label in BFO2 CLIF: [029-001] ,Every continuant fiat boundary is located at some spatial region at every time at which it exists,,,,,,,,,,,,,,,,,,,,,BFO:0000140,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/bfo.owl,continuant fiat boundary,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0016543,"male courtship behavior, orientation prior to leg tapping and wing vibration",,"The process during courtship, where the male orients towards a potential partner. An example of this is found in Drosophila melanogaster.",false,,,http://purl.obolibrary.org/obo/GO_0008049,,,,,,"The process during courtship, where the male orients towards a potential partner. An example of this is found in Drosophila melanogaster.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0016543,,,,,,,,,,,,,,,,,,,,,,,,,,"male courtship behavior, orientation prior to leg tapping and wing vibration",,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
